client,n_samples,accuracy,f1,auc
0,209,0.9473684210526315,0.9652996845425867,0.9858954451345755
1,209,0.9712918660287081,0.9798657718120806,0.9945762711864407
2,209,0.9760765550239234,0.9843260188087775,0.990062893081761
3,209,0.9712918660287081,0.9826589595375722,0.9905266538214516
4,209,0.9665071770334929,0.9779179810725552,0.9961734693877551
